frame_index,timestamp_ms
459,8279.56
460,8297.45
461,8312.79
462,8327.49
463,8346.39
464,8360.71
465,8380.53
466,8394.26
467,8413.5
468,8428.05
469,8449.28
470,8461.88
471,8477.79
472,8495.59
473,8510.36
474,8528.81
475,8543.34
476,8561.63
477,8578.3
478,8594.29
479,8612.9
480,8627.86
481,8646.18
482,8663.2
483,8678.82
484,8696.76
485,8710.15
486,8728.37
487,8745.73
488,8759.55
489,8778.21
490,8796.28
491,8813.44
492,8831.88
493,8848.6
494,8861.46
495,8876.75
496,8893.61
497,8910.3
498,8926.73
499,8944.26
500,8960.13
501,8981.12
502,8993.16
503,9011.39
504,9027.57
505,9047.01
506,9060.43
507,9078.5
508,9094.09
509,9109.86
510,9127.09
511,9143
512,9161.2
513,9177.71
514,9198.35
515,9210.15
516,9227.62
517,9244.25
518,9260.24
519,9276.65
520,9293.32
521,9310.75
522,9328.16
523,9342.78
524,9362.92
525,9381.35
526,9394.03
527,9411.31
528,9426.05
529,9444.11
530,9460.21
531,9481.04
532,9493.24
533,9512.59
534,9528.77
535,9543.08
536,9560.64
537,9575.93
538,9596.49
539,9608.83
540,9627.93
541,9646.81
542,9659.44
543,9676.8
544,9694.27
545,9707.55
546,9725.54
547,9743.48
548,9759.87
549,9778.26
550,9793.03
551,9811.07
552,9828.47
553,9848.78
554,9862.89
555,9875.98
556,9892.68
557,9911.02
558,9924.97
559,9942.26
560,9960.07
561,9978.19
562,9992.42
563,10011.2
564,10026.6
565,10043.4
566,10061.5
567,10077.9
568,10094.2
569,10110.2
570,10126.7
571,10143.3
572,10159.7
573,10176.9
574,10192.7
575,10210.9
576,10227.8
577,10247.3
578,10260.1
579,10277
580,10292.1
581,10309
582,10326.6
583,10342.1
584,10359.2
585,10377.2
586,10392.1
587,10409.7
588,10424.8
589,10444.6
590,10459.8
591,10476.8
592,10492.9
593,10509.7
594,10525.6
595,10543.8
596,10558
597,10576.1
598,10593.8
599,10609
600,10625.3
601,10645.6
602,10659.9
603,10675.3
604,10693.6
605,10710.6
606,10726.6
607,10743.6
608,10757.8
609,10776.4
610,10792.9
611,10809.1
612,10825.8
613,10842.3
614,10864.7
615,10880.2
